127.0.0.1 - - [10/Jan/2024:15:32:43 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [10/Jan/2024:15:32:44 -0300] "GET /AGIS/ HTTP/1.1" 404 275
127.0.0.1 - - [10/Jan/2024:15:32:53 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:32:57 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:32:57 -0300] "OPTIONS /AGIS/disciplina HTTP/1.1" 200 5
127.0.0.1 - - [10/Jan/2024:15:32:57 -0300] "GET /AGIS/disciplina HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:33:00 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:33:13 -0300] "GET /AGIS/curso HTTP/1.1" 200 132
127.0.0.1 - - [10/Jan/2024:15:33:13 -0300] "GET /AGIS/gradeCurricular HTTP/1.1" 200 174
127.0.0.1 - - [10/Jan/2024:15:33:14 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:33:14 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:33:14 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:33:19 -0300] "GET /AGIS/turma/1 HTTP/1.1" 200 679
127.0.0.1 - - [10/Jan/2024:15:33:25 -0300] "PUT /AGIS/turma/1 HTTP/1.1" 200 679
127.0.0.1 - - [10/Jan/2024:15:33:25 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:33:25 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:33:25 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:33:47 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:33:49 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:34:25 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:34:30 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:34:33 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:34:35 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:34:49 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:34:49 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
127.0.0.1 - - [10/Jan/2024:15:34:49 -0300] "GET /AGIS/turma/grade/1 HTTP/1.1" 200 4617
127.0.0.1 - - [10/Jan/2024:15:34:55 -0300] "GET /AGIS/disciplina/curso/1 HTTP/1.1" 200 1419
127.0.0.1 - - [10/Jan/2024:15:34:55 -0300] "GET /AGIS/professor HTTP/1.1" 200 703
